user_id,anime_watched_amount,watching_status_median
24788,67,2.0
24895,111,2.0
24925,402,2.0
25013,20,2.0
25068,241,2.0
25070,428,2.0
25196,321,2.0
25246,83,2.0
25340,187,6.0
25380,931,2.0
25448,284,2.0
25496,65,2.0
25535,148,6.0
25607,238,2.0
25693,775,6.0
25894,510,2.0
25924,257,2.0
26005,615,2.0
26201,26,2.0
26210,91,2.0
26232,461,2.0
26309,125,2.0
26319,34,2.0
26351,30,2.0
26465,227,2.0
26485,45,2.0
26663,445,2.0
26705,489,2.0
26765,251,2.0
26802,667,2.0
26883,106,2.0
27076,559,6.0
27146,24,1.0
27176,1,6.0
27184,177,2.0
27335,693,6.0
27354,81,2.0
27372,1528,6.0
27492,711,2.0
27637,155,2.0
27655,709,2.0
27702,307,2.0
27728,596,3.0
27773,292,2.0
27956,683,2.0
27958,263,2.0
27983,5,2.0
28055,261,2.0
28064,14,2.0
28080,11,6.0
28259,464,2.0
28295,441,2.0
28595,23,2.0
28600,1392,6.0
28604,349,2.0
28646,321,2.0
28728,298,2.0
29121,238,2.0
29128,141,2.0
29234,143,2.0
29507,357,2.0
29530,510,2.0
29559,10,2.0
29774,117,2.0
29822,96,4.0
29886,278,2.0
29979,54,2.0
29997,13,2.0
29998,15,2.0
30080,696,2.0
30096,1191,2.0
30166,59,2.0
30169,5,1.0
30174,21,2.0
30202,69,2.0
30317,144,2.0
30376,143,2.0
30403,942,2.0
30547,444,3.0
30637,138,4.0
30783,1548,4.0
30873,227,2.0
30892,1252,6.0
30916,415,2.0
30955,1233,6.0
30990,66,2.0
31035,550,2.0
31076,38,2.0
31084,386,6.0
31101,164,2.0
31108,17,2.0
31282,27,2.0
31338,343,6.0
31411,102,2.0
31552,609,2.0
31566,117,2.0
31618,285,2.0
31649,705,2.0
31689,100,4.0
31746,936,3.0
31819,145,2.0
31871,28,2.0
31898,202,6.0
31985,581,2.0
32074,714,2.0
32124,173,2.0
32246,1492,2.0
32307,602,2.0
32453,711,2.0
32505,83,2.0
32550,195,2.0
32565,66,2.0
32653,44,2.0
32683,112,2.0
32850,466,2.0
32853,17,2.0
32899,648,6.0
32903,230,2.0
32907,209,2.0
32983,224,2.0
33005,498,2.0
33018,407,2.0
33139,23,6.0
33254,981,2.0
33628,131,2.0
33637,1835,2.0
33651,105,2.0
33774,238,2.0
33915,2,4.0
33952,473,2.0
33956,1256,2.0
34068,264,2.0
34134,276,2.0
34226,1004,6.0
34389,300,2.0
34465,15,2.0
34481,437,6.0
34486,2,1.0
34489,398,2.0
34498,550,2.0
34534,10,1.5
34621,436,2.0
34735,1123,2.0
34758,386,2.0
34763,324,2.0
34818,150,3.0
34880,526,2.0
34881,247,4.0
34889,169,2.0
34899,47,2.0
34930,3,2.0
34993,88,2.0
35017,347,2.0
35056,611,2.0
35081,183,2.0
35260,90,2.0
35344,382,2.0
35449,567,2.0
35689,2289,2.0
35745,139,2.0
35754,362,2.0
35832,433,2.0
36159,257,2.0
36228,296,2.0
36310,512,2.0
36536,51,2.0
36573,218,2.0
36615,92,2.0
36621,159,2.0
36674,257,2.0
36801,1165,3.0
36833,764,2.0
36837,1,6.0
36862,12,2.0
36888,33,2.0
36969,35,2.0
37014,64,2.0
37041,902,2.0
37081,215,2.0
37097,538,6.0
37120,778,2.0
37181,166,2.0
37191,1143,2.0
37203,14,2.0
37243,800,2.0
37327,188,2.0
37359,236,2.0
37476,24,2.0
37552,1,1.0
37677,429,2.0
37731,151,2.0
37738,111,2.0
37825,210,2.0
37916,10,2.0
37955,64,2.0
37990,29,2.0
38120,181,2.0
38168,921,2.0
38197,156,2.0
38349,518,2.0
38367,459,6.0
38419,344,2.0
38472,282,2.0
38633,14,2.0
38651,163,3.0
38656,186,2.0
38691,55,2.0
38841,177,2.0
38853,484,2.0
38913,193,2.0
38954,186,2.0
38977,949,2.0
39007,454,2.0
39083,27,2.0
39182,94,2.0
39200,50,2.0
39357,242,2.0
39375,268,2.0
39396,171,3.0
39521,204,2.0
39696,353,2.0
39715,135,2.0
39747,232,2.0
39778,679,2.0
39790,202,2.0
39918,109,2.0
39925,248,2.0
39975,164,3.0
40034,2669,2.0
40070,64,2.0
40105,197,6.0
40125,71,2.0
40160,197,2.0
40222,58,2.0
40234,249,2.0
40353,293,2.0
40381,798,2.0
40461,508,2.0
40552,53,2.0
40573,39,6.0
40666,417,2.0
40670,393,2.0
40706,107,2.0
41147,129,2.0
41197,384,2.0
41297,108,2.0
41316,8,2.0
41354,380,1.0
41422,536,4.0
41504,191,2.0
41530,373,3.0
41550,13,3.0
41597,193,2.0
41651,534,2.0
41656,747,2.0
41707,520,2.0
41847,414,2.0
42027,16,1.0
42061,43,2.0
42203,225,2.0
42303,1330,2.0
42345,376,2.0
42369,192,2.0
42387,92,4.0
42417,453,6.0
43058,282,2.0
43167,466,2.0
43215,90,3.0
43297,537,2.0
43376,230,2.0
43381,1,2.0
43473,220,2.0
43482,148,2.0
43516,133,2.0
43559,103,2.0
43645,186,2.0
43717,55,2.0
43766,84,2.0
43891,39,2.0
44013,824,2.0
44035,121,4.0
44105,190,4.0
44113,634,6.0
44119,123,2.0
44124,426,2.0
44136,77,6.0
44207,562,2.0
44382,147,2.0
44474,365,2.0
44688,56,2.0
44717,83,2.0
44764,228,2.0
44794,59,2.0
44806,43,2.0
44937,1088,2.0
44973,245,6.0
45014,239,2.0
45167,71,2.0
45180,302,2.0
45275,279,6.0
45365,260,2.0
45497,296,2.0
45517,394,2.0
45588,207,2.0
45651,10,2.0
45688,270,2.0
45725,440,2.0
45759,188,2.0
45762,80,2.0
45846,471,2.0
45867,80,2.0
45927,365,2.0
46026,1851,2.0
46034,279,2.0
46136,85,2.0
46146,425,2.0
46388,205,2.0
46406,523,2.0
46539,729,2.0
46630,416,3.0
46658,610,4.0
46820,431,2.0
46889,102,2.0
46929,40,2.0
46947,109,2.0
46972,35,2.0
47041,110,2.0
47133,11,2.0
47184,192,2.0
47374,80,2.0
47441,109,2.0
47473,671,3.0
47679,678,2.0
47747,205,2.0
47811,537,2.0
47812,92,2.0
47817,298,2.0
47889,32,2.0
47923,48,2.0
47933,8,1.0
47991,1,1.0
48016,210,2.0
48058,214,3.0
48171,11,2.0
48217,258,2.0
48248,627,6.0
48424,926,6.0
48580,933,2.0
48717,541,2.0
48760,4195,4.0
48935,19,2.0
48953,36,2.0
49154,117,2.0
49218,138,2.0
49254,226,2.0
49326,1199,2.0
49403,227,2.0
49450,325,2.0
49465,210,2.0
49492,229,2.0
49807,17,2.0
49892,247,2.0
49954,105,6.0
